label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
さま,,さま,様,"[""recWCPX1UhchVaFjO""]",,$1さま,/(従業員|お客|ユーザー|皆)様/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,"従業員様,お客様,ユーザー様,皆様","従業員さま,お客さま,ユーザーさま,皆さま","[""定義済""]",,recCWNDneO2Napx4L,,true,,
さまざま,,さまざま,様々,"[""recWCPX1UhchVaFjO""]",,さまざま,様々,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,様々,さまざま,"[""定義済"",""外部プラグインで定義済""]",,recesgpQxBXJYRyyK,,true,,
さらに,,さらに,更に,"[""recWCPX1UhchVaFjO""]",,さら$1,/(?<!変)更(に|なる)/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,"更に,更なる","さらに,さらなる","[""定義済""]",,recun7l5rJsIv90Ao,,true,,
さんしょう,true,参照してください,"ご確認ください, 御覧ください, ご覧ください, ご参照ください","[""rec9dReP9sC65CpJU""]","[""recQYlscCrhLSGpyI""]",,,,,,"[""定義不能""]",,recwYlIdPbBWYmecb,,,,
しすてむひょうじゅんますたー,true,システム標準マスター,"システム標準マスタ, システム標準マスターデータ",,"[""recOUKORjYkZyMeY6""]",システム標準マスター,/(システム標準マスターデータ|システム標準マスタ(?!ー))/,マスターデータの総称は「マスターデータ」、総称以外は「◯◯マスター」と表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"システム標準マスタ,システム標準マスターデータ,システム標準マスター","システム標準マスター,システム標準マスター,システム標準マスター","[""定義済""]",,rec714J5wde9rhuKp,,true,,
したうえで,,〜したうえで,〜した上で,"[""recWCPX1UhchVaFjO""]",,したうえで,した上で,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,した上で,したうえで,"[""定義済""]",,recAWk1zgjIdFRBVx,,true,,
しばらく,,しばらく,暫く,"[""recWCPX1UhchVaFjO""]",,しばらく,暫く,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,暫く,しばらく,"[""定義済""]",,rec5apgRIHrfWgHwO,,true,,
しよう,,使用,利用（主語がプロダクトの時）,,"[""rec1tzzEajk67xOYe""]",,,,,,"[""定義不能""]",,rec01SVOOL9aT8Fhs,,,,
すでに,,すでに,既に,"[""recWCPX1UhchVaFjO""]",,すでに,既に,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,既に,すでに,"[""定義済"",""外部プラグインで定義済""]",,recLbP6SQU4QHpbCJ,,true,,
すなわち,,すなわち,即ち,"[""recWCPX1UhchVaFjO""]",,すなわち,即ち,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,即ち,すなわち,"[""定義済""]",,recEdzDLEwH13QFtb,,true,,
